First Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,KP,1/3,PPA,CrsPA,PrgP,Short Cmp%,Medium Cmp%,Long Cmp%,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ% (Take-Ons),Tkld% (Take-Ons),Carries,PrgDist,ProgC,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR,Fls,Fld,Off,Crs,Recov,Won (Aerial),Lost (Aerial),Won% (Aerial)
André,cm CMR,Manchester Utd,GK,29-019,32,32,"2,880",0,0,0,0,0.0,0.2,0,1,0,0.00,0.00,0.00,0.01,1.31,69.5,28.1,25.0,N/a,0.00,N/a,N/a,892,73.0,21204,1,23,0,0,1,99.1,99.0,36.2,4,0.12,0,0.00,1,1,3,2,0,0,0,0,1286,975,1265,22,0,0,0,N/a,N/a,912,2579,0,0,0,1,0,791,0,0,2,0,0,30,6,0,100.0
André,br BRA,Wolves,MF,23-279,28,26,"2,087",0,0,7,0,0.3,0.7,8,90,11,0.00,0.00,0.01,0.03,N/a,N/a,N/a,N/a,14.3,0.04,0.00,22.5,1026,92.8,16152,13,95,4,0,90,95.3,95.3,79.2,42,1.81,3,0.13,69,42,53,23,40,8,32,29,1339,80,363,867,123,3,26,50.0,34.6,742,1360,8,14,0,25,14,896,11,34,32,0,0,166,2,6,25.0
Andrés,es ESP,Aston Villa,"DF,MF",22-073,7,5,318,0,0,0,0,0.0,0.2,26,15,28,0.00,0.00,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,26.6,174,86.6,2725,3,9,8,5,15,92.7,90.2,53.8,3,0.85,0,0.00,9,5,8,4,2,0,2,2,256,8,38,108,112,2,18,27.8,66.7,159,673,26,13,2,10,6,168,28,1,0,0,18,15,0,6,0.0
Andy,sct SCO,West Ham,MF,24-343,10,1,166,0,0,2,0,0.1,0.2,0,9,4,0.00,0.00,0.06,0.13,N/a,N/a,N/a,N/a,50.0,1.08,0.00,26.2,109,87.9,1705,1,14,1,1,9,95.3,83.7,100.0,5,2.68,0,0.00,7,4,5,4,5,1,4,1,150,7,37,89,24,0,1,100.0,0.0,73,137,0,1,0,1,3,104,4,6,1,0,2,10,1,1,50.0
Anthony,eng ENG,Newcastle Utd,FW,24-056,29,25,"2,176",6,5,2,0,7.9,4.9,108,91,190,0.25,0.21,0.33,0.20,N/a,N/a,N/a,N/a,28.3,0.62,0.09,16.3,642,72.6,9893,49,59,49,16,91,85.9,77.5,41.7,96,3.97,12,0.50,31,17,34,22,24,2,22,6,1142,16,114,434,613,123,95,36.8,46.3,735,2937,108,54,55,28,35,820,190,19,62,7,119,91,5,7,41.7
Anthony,se SWE,Nott'ham Forest,FW,22-359,32,25,"2,007",6,8,1,0,3.9,4.3,79,47,162,0.27,0.36,0.18,0.19,N/a,N/a,N/a,N/a,45.7,0.72,0.17,16.8,418,65.2,6008,39,26,22,6,47,84.1,63.4,33.7,81,3.64,13,0.58,17,12,16,12,9,1,8,5,886,29,124,254,524,86,71,31.0,45.1,462,2068,79,41,36,64,34,583,162,6,32,12,140,77,21,32,39.6
Antoine,gh GHA,Bournemouth,FW,25-104,32,32,"2,823",8,4,9,0,9.1,5.7,132,103,258,0.26,0.13,0.29,0.18,N/a,N/a,N/a,N/a,31.0,1.15,0.07,17.2,713,73.4,10210,44,47,44,8,103,85.0,76.7,38.0,121,3.86,12,0.38,51,33,40,26,55,7,48,8,1448,41,174,504,802,174,122,52.5,40.2,875,3299,132,64,64,75,69,1012,258,64,36,14,52,142,60,71,45.8
Antonee,us USA,Fulham,DF,27-256,33,32,"2,899",0,10,8,0,0.7,4.1,110,120,257,0.00,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.06,0.00,22.1,1482,76.5,25356,41,109,50,26,120,86.5,78.9,56.6,74,2.30,11,0.34,84,56,86,43,36,6,30,56,2339,121,741,893,739,65,75,44.0,41.3,1252,3937,110,59,29,40,18,1402,257,30,17,6,158,142,45,25,64.3
Antony,br BRA,Manchester Utd,"DF,MF",25-056,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.00,0.00,0.65,0.08,N/a,N/a,N/a,N/a,50.0,1.91,0.00,15.8,56,81.2,688,3,1,5,2,6,88.2,64.3,100.0,8,5.11,0,0.00,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,5,6,1,5,1,69,7,2,5,0,5,11,0,1,0.0
Antonín,cz CZE,Tottenham,GK,22-039,4,4,360,0,0,0,0,0.0,0.1,1,1,0,0.00,0.00,0.00,0.02,1.75,56.3,25.0,N/a,N/a,0.00,N/a,N/a,116,80.0,2699,1,2,0,0,1,100.0,96.1,47.9,1,0.25,0,0.00,3,1,1,0,0,0,0,0,156,134,154,2,0,0,0,N/a,N/a,97,267,1,0,0,0,0,98,0,0,0,0,0,4,2,0,100.0
